Title,Date,Content,URL,Source
,7/11/2017,"A pro-North Korean newspaper in Japan said Tuesday that President Moon Jae-in should not expect a positive response from Pyongyang to his latest reconciliatory proposal, as Seoul is still not giving up its submission to the United States. The Chosun Sinbo also called on South Korea to end its joint annual military exercises with the U.S. if it hopes to prove its willingness to improve ties. Moon unveiled a broad vision for bringing peace to the Korean Peninsula during his speech in Berlin last Thursday, two days after the North test-fired an intercontinental ballistic missile (ICBM). ""If the proposal is based on South Korea's submission to the U.S. and hostility toward the North, Seoul cannot expect Pyongyang's positive response,"" the newspaper said. The paper serves as an unofficial mouthpiece for Pyongyang. North Korea's state media has yet to unveil its official response to Moon's proposal. Moon proposed that the two Koreas mutually suspend acts of hostility along their tense border on the July 27 anniversary of the armistice treaty that ended conflict in the 1950-53 Korean War. He also offered to hold reunions of families torn apart by the war on Oct. 4, Korea's lunar fall harvest holiday and the 10th anniversary of the second inter-Korean summit. The newspaper hinted that Moon's handling of Seoul-Washington military drills would be a yardstick in the North's decision on its policy with South Korea. ""South Korea should show a willingness to improve its relations with Pyongyang not by words, but with action,"" it said. ""It remains to be seen whether South Korea can make a decision to suspend the drills with the U.S., a main source of tension on the Korean Peninsula."" Pyongyang has long denounced the joint military drills as a rehearsal for a northern invasion despite Seoul and Washington's assurance that they are defensive in nature. North Korea's top envoy to India said in June that North Korea can place a moratorium on its nuclear and missile tests if the U.S. suspends the annual joint military drills. But Moon has rejected an idea of ending exercises with Washington.",http://english.yonhapnews.co.kr/northkorea/2017/07/11/0401000000AEN20170711010300315.html,yonhap
Drought hits N. Korean breadbasket hard,7/12/2017,"North Korea's granary zones, including Hwanghae provinces, are suffering great damage due to a drought that began in April, a U.S. broadcaster reported Wednesday. According to data from a joint investigation team, comprising officials from U.N. agencies operating in the communist country, about 16 percent of all farmland in South Hwanghae Province was heavily affected by drought, with 40 percent of the farmland in the Kangryong and Jangyon counties dried up, Voice of America said. In particular, 59 percent of the farmland in Jangpung County in North Hwanghae Province was ruined by drought, the broadcaster said, adding that rice paddies suffered more damage than corn fields. ""We plan to request a U.N. emergency fund as the nutritional conditions of children, pregnant women and lactating mothers in the Hwanghae provinces and Nampo City in North Pyongyan Province can be more vulnerable due to drought,"" the investigation team was cited as saying. Last week, another American broadcaster, Radio Free Asia, quoted the U.N. Office for the Coordination of Humanitarian Affairs (OCHA) as stating that the yield in Pyongan, Hwanghae and Nampo City is expected to decline 30-80 percent this year from a year ago",http://english.yonhapnews.co.kr/northkorea/2017/07/12/0401000000AEN20170712002900315.html,yonhap
Number of N.K. defectors falls 21 pct on-year in H1: data,7/12/2017,"The number of North Koreans escaping to South Korea declined 20.8 percent in the first half from a year earlier, government data showed Wednesday, as the North has been strengthening border control. A total of 593 North Koreans came to South Korea in the January-June period, compared with 749 tallied last year, according to preliminary data by the Ministry of Unification. As of end-June, the total number of North Korean defectors stood at 30,805, the data showed. The tally topped the 30,000 mark in November last year. North Korean leader Kim Jong-un is believed to have ordered tightened surveillance over people since he assumed power in late 2011. Since the second half of 2015, North Korea has bolstered border control and set up high-tension wires around the Tumen River, which flows between the North and China, to prevent more North Koreans from escaping the country, according to a report by the Korea Institute for National Unification. North Korean female defectors accounted for 85 percent of the total in the first half, the data showed. The yearly number of defectors reaching the South peaked at 2,914 in 2009, but the pace of growth had fallen off since 2011. But last year, the pace of annual growth of the North defectors picked up for the first time since 2011. Defections by North Korean elites also rose in 2016 amid tightened international sanctions, government officials said.",http://english.yonhapnews.co.kr/northkorea/2017/07/12/0401000000AEN20170712002100315.html,yonhap
(3rd LD) Earthquake off N. Korea not caused by nuclear test: U.S. Geological Survey,7/13/2017,"A magnitude-5.8 earthquake that occurred off North Korea's east coast Thursday (local time) was not caused by a nuclear test, the U.S. Geological Survey said. The tremor occurred at 4:18 a.m. North Korean time at a depth of 537.6 km below the East Sea, 176 kilometers east-southeast of Hoemul-li, North Korea, the agency said on its website. The quake does not appear to have been caused by a nuclear test, a USGS official said. ""It occurred at 500 km below the seabed. There's no way it was caused by a nuclear test. It's a natural earthquake,"" John Bellini, a geophysicist at the USGS National Earthquake Information Center, told Yonhap by phone. Pentagon spokesman Maj. Jamie Davis also dismissed the possibility of a nuclear test, pointing to its location and depth, Reuters reported. North Korea has conducted five underground nuclear tests since 2006. It is widely expected to carry out more tests following its test-launch last week of an intercontinental ballistic missile. Ultimately, the communist nation aims to build an ICBM capable of hitting the continental U.S. with a nuclear warhead fitted on top. The European-Mediterranean Seismological Center reported Thursday's earthquake to be of magnitude 5.9. It occurred 537 km below the seabed and 193 km southeast of Rajin, northeastern North Korea, the center said. The Hawaii-based Pacific Tsunami Warning Center issued no alerts as a result of the quake.",,yonhap
 Unification minister meets with bizmen investing in Kaesong complex,7/12/2017,"South D5 unification minister on Wednesday met with a group of company officials who ran factories at a now-shuttered industrial complex in North Korea as they called for more compensation for their losses over the closure. Cho Myoung-gyon held a meeting with 14 officials from local firms that invested in the Kaesong Industrial Complex in North Korea's border city of the same name, according to Seoul's unification ministry. ""Since I became the minister, what struck me first was the joint industrial complex,"" the minister said at the start of the meeting. ""I think that there is the need to join hands with the firms in finding solutions (to the issue)."" This photo taken on July 12, 2017, shows Unification Minister Cho Myoung-gyon (C) speaking at the start of a meeting with officials from local firms that ran factories at the now-shuttered Kaesong Industrial Complex. (Yonhap) This photo taken on July 12, 2017, shows Unification Minister Cho Myoung-gyon (C) speaking at the start of a meeting with officials from local firms that ran factories at the now-shuttered Kaesong Industrial Complex. (Yonhap) Seoul shut down the complex in February 2016 in response to North Korea's fourth nuclear test and long-range rocket launch last year. The firms claimed that the closure has incurred more than 1.5 trillion won (US$1.4 billion) in financial losses, saying that the government's financial support is not sufficient to cover their damage. Under the government of President Moon Jae-in's predecessor, South Korea provided 501.7 billion won in funds to them after calculating their losses at some 786 billion won. At the meeting, the company officials asked the government to provide more funds promptly to cover their losses, including damage to liquid assets, according to the ministry. Cho told them that the government will actively consider assistance from the perspective of state responsibility, though it will take into account the degree of their business normalization and state finances. South Korea's unification ministry earlier said the resumption of the industrial park would hinge on progress in the resolution of North Korea's nuclear and missile problems. A resumption of the complex could spur a dispute over South Korea's possible violation of international sanctions. Opened in 2004, the factory zone had housed 124 South Korean firms hiring more than 54,000 North Korean workers to produce labor-intensive goods, such as clothes and utensils.",http://english.yonhapnews.co.kr/northkorea/2017/07/12/0401000000AEN20170712004851315.html,yonhap
N. Korea erects statues of late leaders around 10 places this year,4/8/2017,"North Korea has been seen focusing on setting up statues of founder Kim Il-sung and his late son Kim Jong-il across the country as part of efforts to bolster the personality cult of the Kim family, Radio Free Asia reported Friday.

Curtis Melvin, a researcher at the US-Korea Institute at Johns Hopkins University, told the Washington-based news outlet that the number of such statues being erected in major cities, universities, museums, historical sites and army units is increasing at a fast clip, around 10 locations so far.

One of top priorities for the Kim Jong-un regime proved to be the construction of statues and monuments for Kim Il-sung and Kim Jong-il, said Melvin, who analyzes satellite imagery for clues to North Korean affairs.

According to him, the two Kims' statues have been installed at lower military units as well as the commands of the North's air force and navy.

Such statues at military units are viewed as part of the personality cult the North is trying to build around the Kim family, he said, adding the North is expected to continue to set up the two leaders' statues at major institutions and military units down the road.",http://english.yonhapnews.co.kr/northkorea/2017/08/04/0401000000AEN20170804002300315.html,yonhap
"U.S. Senate passes sanctions on N. Korea, Russia, Iran",07/28/2017,"The U.S. Senate on Thursday passed sanctions aimed at deterring North Korea's missile and nuclear development, as part of a package that also targets Russia and Iran.

The bill passed the Senate 98-2, despite objections from President Donald Trump. Two days earlier, the legislation passed the House with overwhelming support of 419-3.

It will now be sent to Trump to sign into law or veto.

The part on North Korea authorizes sanctions on those providing the country with crude oil and other related products.

It prohibits ""any ships owned by the government of North Korea or owned or operated on behalf of any country not complying with U.N. Security Council resolutions from operating in United States waters or landing at any U.S. port.""

   It also bans ""goods produced in whole or part by North Korean forced labor from entering the United States and sanctions foreign persons that employ North Koreans who are forced to labor in inhumane conditions and are denied access to wages and benefits.""

   The measures, which passed the House in a standalone bill in May, were added to the Russia and Iran package before the House vote Tuesday.

The legislation also prevents Trump from unilaterally lifting sanctions on Russia and adds fresh ones for its alleged meddling in the 2016 U.S. presidential election.

Trump objected to the bill as he insists he received no help from Moscow to win the presidential race and underscores the importance of bilateral cooperation on issues, such as counterterrorism and the war in Syria.

The legislation also calls for sanctions on Iranian individuals and entities with ties to the country's ballistic missile programs.",http://english.yonhapnews.co.kr/northkorea/2017/07/28/0401000000AEN20170728000800315.html,yonhap
USFK commander: Kim Jong-un's goal is to break unity among regional powers,07/27/2017,"North Korean leader Kim Jong-un is attempting to deter unity between South Korea, the U.S., China, Russia and Japan with a string of belligerent acts, the top American military commander here said Thursday.

Gen. Vincent K. Brooks, who commands U.S. Forces Korea (USFK), pointed out that the communist regime's nearly weekly missile tests have become ""the new normal.""

   The North test-fired 28 ballistic missiles in 2016 alone, followed by 10 others this year, including what is believed to be an intercontinental ballistic missile (ICBM).

It's also reportedly preparing for another missile launch in the coming days, although there was no report of a launch on Thursday, the 64th anniversary of the Korean War Armistice Agreement.

""His actions intend to sow friction and fissures among the five in order to prevent them from coming together as a cohesive block,"" Brooks said, addressing a forum under way in Nebraska, a U.S. state, according to the USFK's website.

The two-day symposium on deterrence is being hosted by the U.S. Strategic Command.

""He's trying to prevent the creation of a closed fist against him,"" the commander said, showing the five fingers of his hand to refer to the five countries involved in the now-suspended denuclearization talks with Pyongyang.

Gen. Vincent K. Brooks, who commands U.S. Forces Korea (USFK), delivers a speech in Seoul in this file photo. (Yonhap) Gen. Vincent K. Brooks, who commands U.S. Forces Korea (USFK), delivers a speech in Seoul in this file photo. (Yonhap)

He described the North Korea issue as a ""wicked problem"" and called for a ""creative"" approach to resolve it by pooling the wisdom of various people.

He also stressed the importance of deterrence for the part of the U.S. and its allies.

""Deterrence aims to cause adversaries to reconsider their resolve to accept whatever consequences might emerge from their actions and to choose something less than having an adversary try to break their will -- in other words, bringing an adversary to his senses,"" he said.

Compellence, however, must remain an option if North Korea does not choose to be deterred instead, he added.

He appreciated South Korea's efforts to improve its own defense power including the purchase of F-35 stealth jets, AH-64 Apache helicopters, more Aegis-equipped warships and the upgrade to Patriot missiles, coupled with the decision to deploy the THAAD missile shield.

South Korea has increased its defense budget to over US$34 billion in 2017, 2.6 percent of its gross domestic product. The Moon Jae-in administration stated that it would raise the ratio to 2.9 percent within the next five years.

""These capabilities invested in by the Republic of Korea will add to the ongoing efforts to reduce North Korea's ability to hold the Republic of Korea (South Korea) and the U.S. forces present at risk,"" said Brooks.

He is wearing two other hats -- the head of the United Nations Command (UNC) and the allies' Combined Forces Command.

The UNC has preserved the armistice that ended the 1950-53 conflict, he noted, as the command held a ceremony to mark the armistice anniversary at the truce village of Panmunjom on Thursday.",http://english.yonhapnews.co.kr/northkorea/2017/07/27/0401000000AEN20170727009800315.html,yonhap
Ethiopia to cut number of N. Korean Embassy bank accounts,4/8/2017,"Ethiopia is currently working to limit the number of bank accounts held by the North Korean Embassy and its diplomats in the African country, its diplomatic mission to the United Nations has said.

""The Ministry of Foreign Affairs of the Federal Democratic Republic of Ethiopia is currently working in coordination with the National Bank of Ethiopia to take measures to limit the number of bank accounts of the embassy of the Democratic People's Republic of Korea and its diplomats and consular officers to one account,"" Ethiopia's Permanent Mission to the U.N. said in an implementation report posted on the web page of the U.N. sanctions committee on North Korea. It was submitted on July 13 to outline Ethiopia's implementation of U.N. Security Council Resolution 2321 adopted in 2016 to condemn North Korea's nuclear test in September that year.

According to the report, Ethiopia has also imposed a restriction on entry into or transit through Ethiopia by North Korea's government officials and armed forces who are associated with the nuclear and ballistic missile programs.

Ethiopia had once been in a friendly relationship with North Korea and had bilateral exchanges in the defense manufacturing sector before reportedly severing its military ties with North Korea ",http://english.yonhapnews.co.kr/northkorea/2017/08/04/0401000000AEN20170804002900315.html,yonhap
Pyongyang condemns U.S. travel ban on N. Korea,4/8/2017,"North Korea on Friday condemned a United States move to ban its citizens from traveling to the North, claiming that it is a ""dirty"" scheme to restrain exchanges among people.

The U.S. government said that U.S. nationals will be barred from traveling to North Korea starting next month on safety concerns if they don't have designated specific reasons, including compelling humanitarian purposes.

North Korea's foreign ministry lashed out at the U.S. move, claiming that it is part of Washington's hostile policy toward Pyongyang.

""The move is a dirty scheme aimed at limiting human exchanges to prevent U.S. citizens from seeing North Korea as it is and a failure of its hostile policy. This reflects Washington's view that it regards us as an enemy,"" a ministry spokesman was quoted as saying by the Korean Central News Agency.

Washington's travel ban came after U.S. college student Otto Warmbier was released in a coma from North Korea in June following a 17-month detention and died days after a medical evacuation.

Warmbier was sentenced to 15 years of hard labor for what North Korea called a subversive act of stealing a propaganda sign.

The North claimed that a sovereign state has a right to punish criminals under the law, defending itself against the angry reaction from the U.S. following Warmbier's death.

North Korea said that it has no intent to block Americans hoping to visit it.

""The door is always open to all Americans who want to visit North Korea with good faith and see its real state,"" the spokesman said.",http://english.yonhapnews.co.kr/northkorea/2017/08/04/0401000000AEN20170804006000315.html,yonhap
